#Read position (bp)	Clipping profile
0.0	9.200655269242423
1.0	1.8049427173271169
2.0	1.717222725099579
3.0	1.621289033643814
4.0	1.52662245162263
5.0	1.4085175610754788
6.0	1.3529770028642463
7.0	1.2932684907768262
8.0	1.2364222309654918
9.0	1.1788620160920324
10.0	1.1228261917566233
11.0	1.0812431334085495
12.0	1.0394413861225276
13.0	0.9965268980640047
14.0	0.95584432357807
15.0	0.9146857790507189
16.0	0.8778688531443963
17.0	0.8435218258313701
18.0	0.8103968837598184
19.0	0.7803657469574741
20.0	0.7527015963070385
21.0	0.7300094029811289
22.0	0.7077352914483556
23.0	0.6867540174605108
24.0	0.6667246835554987
25.0	0.6480460754436957
26.0	0.6344873612909131
27.0	0.6268010883247958
28.0	0.6133388545858137
29.0	0.6003718869710083
30.0	1.1876610298306505
31.0	1.1983381956245875
32.0	1.0878359616849262
33.0	1.0176432446311705
34.0	0.92345906467899
35.0	1.023380613238515
36.0	0.9673769490410393
37.0	0.9519658109432845
38.0	0.8605988590740826
39.0	0.8388843339413529
40.0	0.8286123858853787
41.0	0.8033602455799588
42.0	0.7638675961975654
43.0	0.7551329027348145
44.0	0.7386990722507729
45.0	0.7504761147620372
46.0	0.7247222763048542
47.0	0.7072335932965923
48.0	0.6803026937910416
49.0	0.6801033009358536
50.0	0.6691624220108615
51.0	0.6510819924646224
52.0	0.6190504950828114
53.0	0.6043468800195946
54.0	0.5746630727069323
55.0	0.5703021580031437
56.0	0.5592326385264174
57.0	0.5587695325401743
58.0	0.5615674645403927
59.0	0.5539969680708362
60.0	0.5548009715191748
61.0	0.5639730428578219
62.0	0.5646741338647732
63.0	0.5684947582512784
64.0	0.5796350300314584
65.0	0.5791268998521084
66.0	0.5866781002389048
67.0	0.5953227453154418
68.0	0.6050672671093059
69.0	0.6145287796893549
70.0	0.6239581321314704
71.0	0.6309690422009833
72.0	0.6445020282434191
73.0	0.6561568622305358
74.0	0.664241920907029
75.0	0.6805599748945099
76.0	0.7005185564960681
77.0	0.7218728880839421
78.0	0.7428220019338534
79.0	0.7664789993977693
80.0	0.7905090544617143
81.0	0.8195303629329455
82.0	0.8495100435145962
83.0	0.8830530673792839
84.0	0.9158371119887398
85.0	0.9517471220053364
86.0	0.9928220501740603
87.0	1.032269675363347
88.0	1.0726628086078795
89.0	1.1125092195075421
90.0	1.151326505993331
91.0	1.2051754409492592
92.0	1.256644525698105
93.0	1.3090205263366768
94.0	1.3628951894029515
95.0	1.4123960737102643
96.0	1.522403041525749
97.0	1.6112807987188944
98.0	1.6988657183671114
99.0	1.7763394906490217
100.0	1.7865213903187822
