#Position (bp)	insert size
4124013.5	2260.4341689284884
1.23720395E7	1729.3232974099485
2.06200655E7	167.13761489412616
2.88680915E7	937.275463630879
3.71161175E7	167.30831359035108
4.53641435E7	2458.4574660735657
5.36121695E7	1024.0496860974476
6.18601955E7	1589.581227276758
7.01082215E7	1830.9252974213418
7.83562475E7	1460.5455858769267
8.66042735E7	269.329916900193
9.48522995E7	1820.8787619346938
1.031003255E8	166.4467451933564
1.113483515E8	167.96478106814692
1.195963775E8	477.1986774903459
1.278444035E8	162.13296154975052
1.360924295E8	0.0
1.443404555E8	167.41427400369935
1.525884815E8	439.9303611170938
1.608365075E8	167.82515550944584
1.690845335E8	167.70410027746237
1.773325595E8	166.9989660346262
1.855805855E8	167.66521401898305
1.938286115E8	166.1358938346298
2.020766375E8	554.2377620323082
2.103246635E8	167.7182459127322
2.185726895E8	166.99878320609042
2.268207155E8	210.01412542691452
2.350687415E8	166.98692490180065
2.433167675E8	166.08304053380033
2.481986015E8	169.0791402714932
2.523226145E8	1552.8173195608395
2.598128195E8	166.251496433014
2.680608455E8	166.92028875667893
2.763088715E8	166.86236897274634
2.845568975E8	2559.9867287645634
2.928049235E8	1191.5210386808799
3.010529495E8	166.8095677502557
3.093009755E8	565.9598134000406
3.175490015E8	167.02337664149076
3.257970275E8	166.93634697706085
3.340450535E8	166.4057182972749
3.422930795E8	364.6730989408035
3.505411055E8	167.3680551197339
3.587891315E8	166.2704855746093
3.670371575E8	166.698317680686
3.752851835E8	166.90358168933156
3.810815205E8	165.6732650081274
3.852055335E8	1055.4163455889175
3.917812355E8	1143.8130780331257
4.000292615E8	1134.6851074570893
4.082772875E8	333.3681184418571
4.165253135E8	166.83731366580815
4.247733395E8	165.51160409556314
4.330213655E8	848.0585081722623
4.412693915E8	303.03424633117464
4.495174175E8	166.9899390480676
4.577654435E8	167.34717545453177
4.660134695E8	166.5059489154612
4.742614955E8	167.5821181019766
4.825095215E8	166.69930286599535
4.907575475E8	166.95768075809613
4.990055735E8	167.12327476030455
5.072535995E8	167.55153878379684
5.146090395E8	166.5222446627643
5.178906245E8	171.06617038875103
5.187832105E8	167.295246326707
5.237496515E8	167.90584746282698
5.319976775E8	167.14456563606814
5.402457035E8	500.2875041526268
5.484937295E8	166.93953077082276
5.567417555E8	1400.3477373403978
5.649897815E8	592.1557517484155
5.732378075E8	507.3336739040184
5.814858335E8	308.16851299531316
5.897338595E8	166.54227464884767
5.979818855E8	166.6954764373171
6.062299115E8	165.6900743538298
6.144779375E8	167.03607039627838
6.227259635E8	167.3100953375996
6.309739895E8	167.0737897766177
6.392220155E8	166.9447044041959
6.4728106E8	166.05582351069958
6.51405073E8	0.0
6.557180675E8	0.0
6.639660935E8	156.85087719298247
6.722141195E8	168.19415731579238
6.804621455E8	167.28658961920164
6.887101715E8	166.81086243637446
6.969581975E8	167.35087204128848
7.052062235E8	166.01637856721564
7.134542495E8	163.11973758351445
7.217022755E8	164.14515584216184
7.299503015E8	165.99901330447514
7.381983275E8	162.67452220786743
7.464463535E8	254.6616054231183
7.546943795E8	269.3293480097207
7.62199406E8	166.22576703652126
7.66323419E8	0.0
7.711904315E8	0.0
7.794384575E8	154.13593455003146
7.876864835E8	241.98263957547266
7.959345095E8	577.2044118086027
8.041825355E8	165.9899766867226
8.124305615E8	166.5236780455154
8.206785875E8	166.75819743654378
8.289266135E8	167.53528603592264
8.371746395E8	338.66651025047446
8.454226655E8	503.2850864440518
8.536706915E8	166.19814344363337
8.619187175E8	166.6037224987435
8.69333434E8	166.95208173516204
8.72724992E8	166.34369602763385
8.72931433E8	174.99794407894737
8.731340445E8	165.7347294938918
8.73326804E8	165.33394428152494
8.73441596E8	158.9917491749175
8.73480431E8	162.5937984496124
8.735866135E8	164.8558659217877
8.73694888E8	158.93515358361773
8.74003757E8	0.0
8.784147695E8	19.0
8.866627955E8	151.36144578313252
8.949108215E8	540.5584524063411
9.031588475E8	1299.5394077002238
9.114068735E8	167.46400802325843
9.196548995E8	720.6789743473686
9.279029255E8	417.8012084726208
9.361509515E8	167.27966764636858
9.443989775E8	167.0666242046094
9.526470035E8	167.20480979116667
9.608950295E8	167.14120152364956
9.691430555E8	165.39305292616677
9.744875075E8	167.0622340869275
9.759320705E8	166.75552282768777
9.788356445E8	216.4844988255523
9.856391075E8	809.7635821430973
9.938871335E8	1370.5020687436952
1.0021351595E9	175.0070328473528
1.0103831855E9	2148.7752346220545
1.0186312115E9	165.40731740245712
1.0268792375E9	450.57081455985747
1.0351272635E9	167.03806715414768
1.0433752895E9	167.46585673257712
1.0516233155E9	166.95237507520943
1.0598713415E9	166.16768292682926
1.065244947E9	166.2398945440712
1.067430919E9	164.3314033216517
1.0703053395E9	5313.271748473196
1.0763673935E9	246.6339384084888
1.0846154195E9	239.9351965118699
1.0928634455E9	1030.8974939130862
1.1011114715E9	479.6971283985391
1.1093594975E9	167.44122619213917
1.1176075235E9	317.7006662388069
1.1258555495E9	172.90369978999746
1.1341035755E9	174.62310825173773
1.1423516015E9	166.68646006896904
1.149050177E9	166.25682894487593
1.151717535E9	165.76014109347443
1.15195075E9	120.45799011532125
1.152147445E9	131.13311688311688
1.1534636805E9	166.5599217348769
1.1588476535E9	167.0075544984009
1.1670956795E9	166.4242970439798
1.1753437055E9	167.09014524848564
1.1835917315E9	166.72704671456628
1.1918397575E9	164.9183361994841
1.2000877835E9	166.38203068644845
