#GC Content (%)	Sample
1.0	8.22152741180562E-8
2.0	8.22152741180562E-8
3.0	1.644305482361124E-7
4.0	1.644305482361124E-7
5.0	4.1107637059028097E-7
6.0	4.932916447083372E-7
7.0	1.644305482361124E-7
8.0	8.22152741180562E-8
9.0	0.0
10.0	2.466458223541686E-7
11.0	4.1107637059028097E-7
12.0	5.755069188263933E-7
13.0	5.755069188263934E-7
14.0	1.3154443858888994E-6
15.0	1.9731665788333484E-6
16.0	3.45304151295836E-6
17.0	9.290325975340351E-6
18.0	1.9649450514215432E-5
19.0	4.900030337436149E-5
20.0	1.107439742370217E-4
21.0	2.2551649690582816E-4
22.0	4.157626412150102E-4
23.0	7.09600030912943E-4
24.0	0.00110900183257846
25.0	0.0018731928055057926
26.0	0.0021671946257519614
27.0	0.0032257984952960526
28.0	0.0042599022131529635
29.0	0.005510725393585072
30.0	0.006858809243298838
31.0	0.00840338759815476
32.0	0.010284061993605298
33.0	0.012351693922400294
34.0	0.014736101302372157
35.0	0.017304259819997878
36.0	0.020153183498736762
37.0	0.02336278558503156
38.0	0.026820677799162883
39.0	0.030404606028517193
40.0	0.033334676182810594
41.0	0.03545097955388349
42.0	0.03671684812947919
43.0	0.03729334163159499
44.0	0.0371826798726321
45.0	0.036278065211511126
46.0	0.034840448928282794
47.0	0.03300630837798308
48.0	0.031426213024708154
49.0	0.029760367140528106
50.0	0.028448786872522756
51.0	0.029913040904565338
52.0	0.02378528987872425
53.0	0.025744397645683415
54.0	0.025487474914064483
55.0	0.025479335601926795
56.0	0.025774570651284735
57.0	0.02571997970927035
58.0	0.02543995448562425
59.0	0.02485926800452842
60.0	0.024137253467223646
61.0	0.023104054117382037
62.0	0.02193536399579387
63.0	0.020390703425663827
64.0	0.01853428253607812
65.0	0.01634250554336486
66.0	0.014237136803749674
67.0	0.012207981623241928
68.0	0.01036890815649513
69.0	0.008597415645073374
70.0	0.007038860693617382
71.0	0.005748080889963899
72.0	0.0046278155648312655
73.0	0.0036330107480027855
74.0	0.0028588717269071684
75.0	0.002266428461612455
76.0	0.0017894976564536112
77.0	0.0014231463949835527
78.0	0.001138106039616252
79.0	8.803611552561457E-4
80.0	6.814001918904497E-4
81.0	5.227247128426013E-4
82.0	3.8978261459370446E-4
83.0	2.791208556308008E-4
84.0	1.966589356903904E-4
85.0	1.3294209824889685E-4
86.0	8.344850322982705E-5
87.0	5.533087948145183E-5
88.0	3.000857505309051E-5
89.0	1.5127610437722342E-5
90.0	8.468173234159789E-6
91.0	3.864117883548642E-6
92.0	2.3020276753055738E-6
93.0	2.7131040458958547E-6
94.0	3.7819026094305856E-6
95.0	4.275194254138922E-6
96.0	3.6996873353125287E-6
97.0	2.1375971270694613E-6
98.0	1.973166578833349E-6
99.0	1.973166578833349E-6
100.0	1.3154443858888994E-6
