#Position (bp)	mapping quality
4124013.5	55.09179026142556
1.23720395E7	57.316356552532916
2.06200655E7	52.93636777735461
2.88680915E7	58.21562567193316
3.71161175E7	59.31745964893253
4.53641435E7	59.06852230275343
5.36121695E7	59.881333661271896
6.18601955E7	59.76302760600605
7.01082215E7	59.610928993209235
7.83562475E7	59.67650557881554
8.66042735E7	59.53555618664689
9.48522995E7	59.72811023549414
1.031003255E8	56.752066168769076
1.113483515E8	58.605857334223685
1.195963775E8	52.411381174017976
1.278444035E8	9.741149825528277
1.360924295E8	0.0
1.443404555E8	34.93029292726056
1.525884815E8	51.23558191808318
1.608365075E8	57.03278414127633
1.690845335E8	59.778796657186156
1.773325595E8	59.81932028862132
1.855805855E8	59.83239469132683
1.938286115E8	50.77682851021289
2.020766375E8	59.122133243929134
2.103246635E8	57.06216501822857
2.185726895E8	58.45202579099559
2.268207155E8	58.3267049925775
2.350687415E8	58.465044267039204
2.433167675E8	49.916509711207624
2.481986015E8	52.47152231425862
2.523226145E8	58.56193548453374
2.598128195E8	59.50108750072383
2.680608455E8	59.78785525190854
2.763088715E8	57.923506515456644
2.845568975E8	56.87218516386699
2.928049235E8	46.623940616583575
3.010529495E8	57.18691051733361
3.093009755E8	59.75975906348509
3.175490015E8	59.81960294046372
3.257970275E8	55.53654693811119
3.340450535E8	57.549112586673004
3.422930795E8	59.81006293348874
3.505411055E8	59.897871144720206
3.587891315E8	59.79011076173654
3.670371575E8	57.9405159078857
3.752851835E8	58.12352309700872
3.810815205E8	57.670010417815995
3.852055335E8	46.25462755803324
3.917812355E8	58.51162401620911
4.000292615E8	58.02878801611943
4.082772875E8	59.27408053008853
4.165253135E8	59.820838677399564
4.247733395E8	59.766277568498644
4.330213655E8	50.82526432032007
4.412693915E8	57.37455764931215
4.495174175E8	59.1358413064727
4.577654435E8	59.64822280472363
4.660134695E8	59.75734241743082
4.742614955E8	52.402784454978196
4.825095215E8	59.77776702012459
4.907575475E8	58.569655996758065
4.990055735E8	57.824653393543684
5.072535995E8	59.11732805168956
5.146090395E8	59.34750565477595
5.178906245E8	4.450665129613057
5.187832105E8	55.96247460381392
5.237496515E8	53.46094582129087
5.319976775E8	51.80530323632538
5.402457035E8	59.70030306386087
5.484937295E8	57.12223019461926
5.567417555E8	58.0515870010313
5.649897815E8	59.7080913499848
5.732378075E8	58.52925476479625
5.814858335E8	59.449006326814185
5.897338595E8	59.77021661219894
5.979818855E8	59.752471288758294
6.062299115E8	59.38248921868918
6.144779375E8	59.63769959436329
6.227259635E8	59.25204633494411
6.309739895E8	59.89194761639686
6.392220155E8	57.47376994488429
6.4728106E8	55.75013171684463
6.51405073E8	0.0
6.557180675E8	0.0
6.639660935E8	0.013161190551386908
6.722141195E8	56.09773188270732
6.804621455E8	59.57064159626539
6.887101715E8	59.460377621596145
6.969581975E8	59.76728382660635
7.052062235E8	58.61210834678563
7.134542495E8	59.03724560798032
7.217022755E8	59.34689173712228
7.299503015E8	59.70546095540365
7.381983275E8	58.44161159191529
7.464463535E8	59.81833773070039
7.546943795E8	59.71026616840347
7.62199406E8	56.18500673546188
7.66323419E8	0.0
7.711904315E8	0.0
7.794384575E8	1.5987141979525117
7.876864835E8	44.59939378594483
7.959345095E8	59.71415496828797
8.041825355E8	59.25926378239484
8.124305615E8	59.52037765423222
8.206785875E8	59.80343471128618
8.289266135E8	59.37883320603241
8.371746395E8	59.27586930977814
8.454226655E8	59.83079678426242
8.536706915E8	57.83322423842874
8.619187175E8	49.75964424470713
8.69333434E8	51.82255145232821
8.72724992E8	22.74513964227767
8.72931433E8	27.981240474035623
8.731340445E8	37.76563715896937
8.73326804E8	30.417108066495942
8.73441596E8	32.60939452787018
8.73480431E8	35.07979824322899
8.735866135E8	19.70719843214111
8.73694888E8	11.058440791997404
8.74003757E8	0.0
8.784147695E8	0.0
8.866627955E8	45.5122819156823
8.949108215E8	26.56223417271041
9.031588475E8	29.265475199045536
9.114068735E8	58.336847733234855
9.196548995E8	54.09674967036866
9.279029255E8	59.814276252202845
9.361509515E8	59.08099433511788
9.443989775E8	55.32799912035848
9.526470035E8	57.54502619930183
9.608950295E8	55.547881489167196
9.691430555E8	59.78128292778554
9.744875075E8	56.9980705721126
9.759320705E8	0.0
9.788356445E8	55.31570066598662
9.856391075E8	59.63350138576587
9.938871335E8	41.36508092296689
1.0021351595E9	49.364904792363326
1.0103831855E9	50.49272831401321
1.0186312115E9	42.24264998533011
1.0268792375E9	59.731303172907396
1.0351272635E9	58.76186061500041
1.0433752895E9	55.827550510502164
1.0516233155E9	56.40820056958484
1.0598713415E9	56.00301145745807
1.065244947E9	58.920049181312336
1.067430919E9	6.691315908231592
1.0703053395E9	49.30269553715609
1.0763673935E9	56.5221019983477
1.0846154195E9	50.62197714669621
1.0928634455E9	51.99178651158239
1.1011114715E9	52.413852201387826
1.1093594975E9	52.4922138917028
1.1176075235E9	54.31810622971326
1.1258555495E9	57.75472860256082
1.1341035755E9	57.90142732749958
1.1423516015E9	58.7601732636838
1.149050177E9	55.40275918751712
1.151717535E9	5.790079806041014
1.15195075E9	20.784265824236805
1.152147445E9	20.088351221071132
1.1534636805E9	56.099952822164724
1.1588476535E9	59.721066785998204
1.1670956795E9	53.99122413693397
1.1753437055E9	57.830368447580554
1.1835917315E9	59.80601592085269
1.1918397575E9	59.652253736717554
1.2000877835E9	56.62534599189401
1.2083358095E9	59.72536022832499
1.2165838355E9	58.00905803811693
1.2248318615E9	59.487341720219895
1.23076644E9	54.887660656054834
1.234890453E9	58.25924328466006
1.2413279135E9	56.59234302027956
1.2495759395E9	56.610872490096725
1.2578239655E9	52.81375862433849
1.2660719915E9	57.16849843039498
1.2743200175E9	55.15362086697957
1.2825680435E9	58.45487293537121
1.288943339E9	55.025915598264085
1.291282149E9	22.998079957916886
1.2913856925E9	28.69207786060821
1.2914655495E9	33.0125279992942
1.2915628205E9	19.743877192032908
1.2916163385E9	30.05537234042553
1.2916575315E9	8.549746464678277
1.291766658E9	8.91096940171876
1.291875052E9	16.588393476175813
1.291916283E9	1.8071449430546092
1.293438612E9	53.91975478344388
1.2990640955E9	58.7115446715263
1.3073121215E9	59.62284938249971
1.3155601475E9	57.42325988689901
1.3238081735E9	59.42385398957541
1.3320561995E9	59.72079427005012
1.3403042255E9	59.82231132990541
1.3485522515E9	59.80043350027673
1.3568002775E9	59.76196588275383
1.3650483035E9	56.10504173313671
1.3732963295E9	55.49372012184546
1.3815443555E9	43.297646061227134
1.3897923815E9	51.93699488688275
1.3980404075E9	56.467788717554974
1.4062884335E9	53.47507571511342
1.4145364595E9	59.61997955655224
1.4227844855E9	52.13271874444188
1.4310325115E9	59.83803081070718
1.4392805375E9	57.87627819493238
1.4475285635E9	59.707976453329394
1.4557765895E9	59.309031281889844
1.4640246155E9	56.1674100842282
1.4722726415E9	59.48652004807819
1.4805206675E9	58.232149695020986
1.4887686935E9	59.795661204618305
1.4970167195E9	56.38922597026059
1.5052647455E9	59.85606203631239
1.5135127715E9	59.84225818999804
1.5217607975E9	56.920832608343304
1.5300077405E9	57.64602758904058
1.5341317535E9	0.0
1.5382568495E9	59.710242162079346
1.5465048755E9	57.56805797400047
1.5547529015E9	59.41855867561756
1.5630009275E9	54.679404698121814
1.5712489535E9	58.29779838101787
1.5794969795E9	59.86053062544752
1.5877450055E9	59.851910633700946
1.595221928E9	57.443667407176726
1.599345941E9	0.0
1.6042410575E9	5.934887401131578
1.6124890835E9	48.060980725673616
1.6207371095E9	59.06166208250104
1.6289851355E9	54.20873190333979
1.6372331615E9	57.88318486532477
1.6433209975E9	52.31558511279479
1.6474450105E9	0.0
1.6537292135E9	30.816627838534842
1.6619772395E9	52.08668549357461
1.6702252655E9	54.09360585418301
1.6784732915E9	58.606735095650315
1.6867213175E9	58.56171775334854
1.6934743095E9	58.45409415802227
1.6961786655E9	9.386262729423354
1.696274814E9	40.635883016202
1.6963854715E9	9.305537388978776
1.6965578825E9	9.384593831751996
1.696661813E9	34.93962333342065
1.6967741785E9	29.9487188918396
1.6969170575E9	5.956731992873505
1.697018664E9	19.318730469946694
1.697105344E9	10.516368596544407
1.697223072E9	1.741816329130047
1.697380707E9	9.129802197802197
1.6982754815E9	59.546502608326364
1.7032173695E9	59.83884511345728
1.7114653955E9	58.329257730033355
1.7197134215E9	59.5577898440211
1.7279614475E9	57.12171615598091
1.7362094735E9	58.79774066369989
1.7444574995E9	58.02914018417139
1.7527055255E9	59.90700668080892
1.7609535515E9	57.59333282325633
1.7692015775E9	57.09886175462007
1.7774496035E9	59.11316238273307
1.7856976295E9	54.50689882027057
1.7939456555E9	58.31913090139883
1.8021936815E9	59.83127581911209
1.8104417075E9	58.498703485509466
