#Position (bp)	insert size
4124013.5	759.7634875340389
1.23720395E7	895.9889612264295
2.06200655E7	196.07802198564826
2.88680915E7	652.7268893469716
3.71161175E7	1964.4143571073525
4.53641435E7	1571.8352721960325
5.36121695E7	1340.3561603582882
6.18601955E7	194.78693087792252
7.01082215E7	1198.2555300403037
7.83562475E7	195.27230988496387
8.66042735E7	196.18138193095933
9.48522995E7	195.39416342103803
1.031003255E8	2078.686239370723
1.113483515E8	203.89057401469796
1.195963775E8	576.3955387607361
1.278444035E8	190.39082638362396
1.360924295E8	0.0
1.443404555E8	695.9433926855633
1.525884815E8	662.623298598085
1.608365075E8	256.82527577743616
1.690845335E8	637.9767530487804
1.773325595E8	196.02677613323937
1.855805855E8	196.72179395515113
1.938286115E8	541.9252404479068
2.020766375E8	250.59201549147272
2.103246635E8	473.51657988323683
2.185726895E8	195.33314342686228
2.268207155E8	196.06585327630074
2.350687415E8	196.1101051346743
2.433167675E8	195.25444617502174
2.481986015E8	200.27182652625586
2.523226145E8	195.83300462323436
2.598128195E8	306.3014726945536
2.680608455E8	195.68758120040812
2.763088715E8	348.92752010520456
2.845568975E8	5854.4618170172935
2.928049235E8	1208.7012582734756
3.010529495E8	197.05608228804743
3.093009755E8	767.4629124346415
3.175490015E8	195.61300644215797
3.257970275E8	871.3192679985452
3.340450535E8	195.03557758533088
3.422930795E8	314.0677184442577
3.505411055E8	196.51929686875513
3.587891315E8	195.0808881592619
3.670371575E8	194.99798649444574
3.752851835E8	196.48462553984754
3.810815205E8	193.3600519930676
3.852055335E8	1475.739568986673
3.917812355E8	198.50500991472634
4.000292615E8	196.3709180529883
4.082772875E8	193.42855674870268
4.165253135E8	1690.7151012306472
4.247733395E8	194.37979678911424
4.330213655E8	522.0095501124548
4.412693915E8	198.25182506483986
4.495174175E8	771.6085003877841
4.577654435E8	373.47020082966225
4.660134695E8	625.3755750220221
4.742614955E8	196.76744499250853
4.825095215E8	195.2552909351297
4.907575475E8	196.47779794581194
4.990055735E8	196.48407546748268
5.072535995E8	197.49147958226501
5.146090395E8	195.30384915185033
5.178906245E8	194.2803680981595
5.187832105E8	196.91422668795192
5.237496515E8	339.23670527779973
5.319976775E8	487.4101734596148
5.402457035E8	1080.5366510115607
5.484937295E8	196.17094823398548
5.567417555E8	195.9743602004514
5.649897815E8	293.5258790080086
5.732378075E8	197.42918546946737
5.814858335E8	676.1097562144699
5.897338595E8	321.84909314364455
5.979818855E8	193.8895016785107
6.062299115E8	192.75297638409992
6.144779375E8	438.0944118988319
6.227259635E8	196.45992798273258
6.309739895E8	196.51732976107036
6.392220155E8	195.99886882371052
6.4728106E8	194.84650172548146
6.51405073E8	0.0
6.557180675E8	19.0
6.639660935E8	182.1410835214447
6.722141195E8	196.79516113683943
6.804621455E8	196.34791559085008
6.887101715E8	196.29195128903217
6.969581975E8	195.9892828408283
7.052062235E8	194.6972895522388
7.134542495E8	189.39773901808786
7.217022755E8	191.19745284853198
7.299503015E8	194.00285625194886
7.381983275E8	188.98412082289425
7.464463535E8	195.1875951122437
7.546943795E8	282.9256129978712
7.62199406E8	194.61895393437499
7.66323419E8	0.0
7.711904315E8	0.0
7.794384575E8	178.09477413640388
7.876864835E8	200.00475704286166
7.959345095E8	193.96515200433257
