#Position (bp)	Coverage
4124013.5	7.511317738329147
1.23720395E7	7.554895195529209
2.06200655E7	7.064052659387834
2.88680915E7	7.5241935464315945
3.71161175E7	7.297396249720842
4.53641435E7	7.247459937686909
5.36121695E7	4.837244329734169
6.18601955E7	2.8882050080831463
7.01082215E7	2.0932362482853475
7.83562475E7	2.4096792371896014
8.66042735E7	3.5114068505603644
9.48522995E7	3.088739657222225
1.031003255E8	2.039234236167539
1.113483515E8	6.909907170515709
1.195963775E8	3.5444394816408193
1.278444035E8	0.13217077637728106
1.360924295E8	0.0
1.443404555E8	3.272597467563754
1.525884815E8	13.466552118046184
1.608365075E8	7.271622203906729
1.690845335E8	3.9878258143221177
1.773325595E8	3.859602285443814
1.855805855E8	3.773126563859037
1.938286115E8	1.5841058211989147
2.020766375E8	5.974800394664129
2.103246635E8	4.040015029050587
2.185726895E8	2.755108919394774
2.268207155E8	5.319172005519866
2.350687415E8	3.895669339548639
2.433167675E8	2.707585790830436
2.481986015E8	7.502181913670906
2.523226145E8	3.7593063616097955
2.598128195E8	3.337445590011477
2.680608455E8	3.339923516244978
2.763088715E8	2.9095087721595445
2.845568975E8	1.9913669040325528
2.928049235E8	2.443858445645055
3.010529495E8	2.498897918120045
3.093009755E8	2.039863477636952
3.175490015E8	4.0149224796333085
3.257970275E8	3.840763111076517
3.340450535E8	2.171357243539242
3.422930795E8	5.076317654672766
3.505411055E8	6.7483049883693385
3.587891315E8	2.360684120054908
3.670371575E8	3.579893419346641
3.752851835E8	3.693787580204039
3.810815205E8	5.015795085162923
3.852055335E8	8.228471474155164
3.917812355E8	6.998234001687192
4.000292615E8	4.176078251935675
4.082772875E8	1.4315591391200755
4.165253135E8	3.0873302290754174
4.247733395E8	1.9124883941927437
4.330213655E8	3.588803308815952
4.412693915E8	7.955349073826877
4.495174175E8	12.227924233022543
4.577654435E8	6.1028139339037
4.660134695E8	2.0037582325758914
4.742614955E8	2.91427548846233
4.825095215E8	2.312899838094594
4.907575475E8	3.3239141098730776
4.990055735E8	6.14373439171991
5.072535995E8	4.705874957232191
5.146090395E8	3.370273875906836
5.178906245E8	3.285966346345548
5.187832105E8	6.382201802409226
5.237496515E8	8.07097807402644
5.319976775E8	3.4564596425859957
5.402457035E8	2.71514905505875
5.484937295E8	3.4818675401847665
5.567417555E8	2.5660053690422413
5.649897815E8	6.5853202936072215
5.732378075E8	16.232057221934074
5.814858335E8	2.558901123735546
5.897338595E8	2.6334933958743583
5.979818855E8	2.2511616718957965
6.062299115E8	1.5081889897049305
6.144779375E8	3.495469582661354
6.227259635E8	4.691177864861241
6.309739895E8	5.909383408830186
6.392220155E8	7.3208989641885225
6.4728106E8	3.6903595307940993
6.51405073E8	0.0
6.557180675E8	4.7284041054186785E-6
6.639660935E8	0.022265448726762015
6.722141195E8	3.10079539031521
6.804621455E8	3.513044575756672
6.887101715E8	2.495318273729981
6.969581975E8	3.139390443240601
7.052062235E8	2.055715270538672
7.134542495E8	0.7609144297071808
7.217022755E8	1.0095883548378728
7.299503015E8	1.9666977286444054
7.381983275E8	0.6962086443471444
7.464463535E8	2.7234471617814977
7.546943795E8	2.223526574722243
7.62199406E8	3.9197174160943162
7.66323419E8	0.0
7.711904315E8	0.0
7.794384575E8	0.05644332352977549
7.876864835E8	9.652706235407114
7.959345095E8	2.3549517181444384
8.041825355E8	2.311157724284574
8.124305615E8	2.3574803231706594
8.206785875E8	2.9683947407537272
8.289266135E8	4.201820775055753
8.371746395E8	5.874881214001992
8.454226655E8	2.8870110254259624
8.536706915E8	2.9483752839770387
8.619187175E8	3.8765094823900896
8.69333434E8	7.9459003219220445
8.72724992E8	1.549147534319242
8.72931433E8	6.210770316280964
8.731340445E8	1.5562432362793095
8.73326804E8	4.684606907645624
8.73441596E8	4.0935852026761115
8.73480431E8	4.55611174314246
8.735866135E8	1.4763323881719808
8.73694888E8	1.5496010425478406
8.74003757E8	0.0
8.784147695E8	0.0
8.866627955E8	0.002453071801665029
8.949108215E8	1.7807458414898305
9.031588475E8	1.7206363074025228
9.114068735E8	5.000150339002326
9.196548995E8	7.653538192047407
9.279029255E8	3.798613874398553
9.361509515E8	5.051397995108163
9.443989775E8	5.174695496837668
9.526470035E8	5.748047108483896
9.608950295E8	5.427488710632096
9.691430555E8	2.0186735589824765
9.744875075E8	4.956579148978359
9.759320705E8	1.2038179757634166
9.788356445E8	14.902370449159342
9.856391075E8	2.7959726363617183
9.938871335E8	4.059204105321686
1.0021351595E9	5.837158491013486
1.0103831855E9	4.688693027883278
1.0186312115E9	0.24339314643285556
1.0268792375E9	3.5238408559817826
1.0351272635E9	4.346233389661963
1.0433752895E9	7.529351022899298
1.0516233155E9	3.9375467536111066
1.0598713415E9	3.731372815750096
1.065244947E9	10.52092062012216
1.067430919E9	0.8755958454878604
1.0703053395E9	6.623869154470932
1.0763673935E9	10.077935253841343
1.0846154195E9	6.0061441367910335
1.0928634455E9	2.651366520910579
1.1011114715E9	6.879271597834439
1.1093594975E9	11.291976528686986
1.1176075235E9	6.345862149319122
1.1258555495E9	5.077895850473798
1.1341035755E9	7.23673203745963
1.1423516015E9	7.400939812750348
